affiliation_key,affiliation_variant,group_key,source
icrs-a-00001,"., New Zealand",.|new zealand,delegate_list|geocode_csv
icrs-a-00002,"A*STAR Institute of High Performance Computing, Singapore",a*star institute of high performance computing|singapore,delegate_list|geocode_csv|programme
icrs-a-00003,"A*Star-Agency for Science, Technology and Research, Singapore","a*star-agency for science, technology and research|singapore",delegate_list|geocode_csv
icrs-a-00004,Academia Sinica,academia sinica|taiwan,display_alias
icrs-a-00004,"Academia Sinica, Taiwan",academia sinica|taiwan,delegate_list|display_alias|geocode_csv|programme
icrs-a-00005,"ACIAR Coral Restoration Governance Project, Philippines",aciar coral restoration governance project|philippines,delegate_list|geocode_csv|programme
icrs-a-00006,"Adam Mickiewicz University, Poland",adam mickiewicz university|poland,delegate_list|geocode_csv
icrs-a-00007,"Adelaide University, Australia",adelaide university|australia,delegate_list|geocode_csv|programme
icrs-a-00008,"Adelphi University, United States",adelphi university|united states,delegate_list|geocode_csv|programme
icrs-a-00009,"Africa Ocean Alliance, Ghana",africa ocean alliance|ghana,delegate_list|geocode_csv
icrs-a-00010,Alfred Wegener Institute For Marine And Polar Research (awi),alfred wegener institute for marine and polar research (awi)|,programme
icrs-a-00011,"Alfred Wegener Institute For Marine And Polar Research, Germany",alfred wegener institute for marine and polar research|germany,delegate_list|geocode_csv
icrs-a-00012,"Alligator Head Foundation, Jamaica",alligator head foundation|jamaica,delegate_list|geocode_csv|programme
icrs-a-00013,"Altasea, United States",altasea|united states,delegate_list|geocode_csv
icrs-a-00014,"American Samoa Community College & University of Hawaii, American Samoa",american samoa community college & university of hawaii|american samoa,delegate_list|geocode_csv
icrs-a-00015,"American Samoa Government, American Samoa",american samoa government|american samoa,delegate_list|geocode_csv
icrs-a-00016,"American University, United States",american university|united states,delegate_list|geocode_csv
icrs-a-00017,"Aquatic Resources Research Institute, Chualalongkorn, Thailand","aquatic resources research institute, chualalongkorn|thailand",delegate_list|geocode_csv|programme
icrs-a-00018,Arizona State University,arizona state university|united states,display_alias
icrs-a-00018,"Arizona State University, United States",arizona state university|united states,delegate_list|display_alias|geocode_csv|programme
icrs-a-00019,"Atlantic Oceanographic and Meteorological Laboratory, United States",atlantic oceanographic and meteorological laboratory|united states,delegate_list|geocode_csv|programme
icrs-a-00020,Auckland University of Technology,auckland university of technology|new zealand,display_alias
icrs-a-00020,"Auckland University of Technology, New Zealand",auckland university of technology|new zealand,delegate_list|display_alias|geocode_csv|programme
icrs-a-00021,Australian Institute Of Marine Science,australian institute of marine science|australia,display_alias
icrs-a-00021,"Australian Institute Of Marine Science, Australia",australian institute of marine science|australia,delegate_list|programme
icrs-a-00021,Australian Institute of Marine Science,australian institute of marine science|australia,display_alias
icrs-a-00021,"Australian Institute of Marine Science, Australia",australian institute of marine science|australia,delegate_list|geocode_csv|programme
icrs-a-00022,"Australian Institute of Marine Science, United States",australian institute of marine science|united states,delegate_list|geocode_csv
icrs-a-00023,"Australian Museum Research Institute, Australia",australian museum research institute|australia,delegate_list|geocode_csv|programme
icrs-a-00024,"Australian Museum, Australia",australian museum|australia,delegate_list|geocode_csv|programme
icrs-a-00025,"Auxilia, Italy",auxilia|italy,delegate_list|geocode_csv
icrs-a-00026,"Bangor University, Maldives",bangor university|maldives,delegate_list|geocode_csv|programme
icrs-a-00027,Bar-Ilan University,bar-ilan university|israel,display_alias
icrs-a-00027,"Bar-Ilan University, Israel",bar-ilan university|israel,delegate_list|display_alias|geocode_csv|programme
icrs-a-00028,"Ben Gurion University of the Negev, Israel",ben gurion university of the negev|israel,delegate_list|geocode_csv|programme
icrs-a-00029,Bergische Universitat Wuppertal,bergische universität wuppertal|germany,display_alias
icrs-a-00029,"Bergische Universitat Wuppertal, Germany",bergische universität wuppertal|germany,display_alias|programme
icrs-a-00029,Bergische Universität Wuppertal,bergische universität wuppertal|germany,display_alias
icrs-a-00029,"Bergische Universität Wuppertal, Germany",bergische universität wuppertal|germany,delegate_list|display_alias|geocode_csv
icrs-a-00030,"Bermuda Institute of Ocean Sciences, Bermuda",bermuda institute of ocean sciences|bermuda,delegate_list|geocode_csv|programme
icrs-a-00031,"Bermuda Institute of Ocean Sciences, New Caledonia",bermuda institute of ocean sciences|new caledonia,delegate_list|geocode_csv|programme
icrs-a-00032,"Biodiversity Research Center,  Academia Sinica","biodiversity research center, academia sinica|",programme
icrs-a-00033,"Bloomberg Ocean Fund, United States",bloomberg ocean fund|united states,delegate_list|geocode_csv
icrs-a-00034,"Blue Alliance Tanzania, United Republic of, United States","blue alliance tanzania, united republic of|united states",programme
icrs-a-00034,"University of Hawai‘i - Mānoa, United States","blue alliance tanzania, united republic of|united states",delegate_list|geocode_csv
icrs-a-00035,"Blue Alliance, Barbados",blue alliance|barbados,delegate_list|geocode_csv
icrs-a-00036,"Blue Alliance, Indonesia",blue alliance|indonesia,delegate_list|geocode_csv|programme
icrs-a-00037,"Blue Alliance, Tanzania, United Republic of","blue alliance|tanzania, united republic of",delegate_list|geocode_csv|programme
icrs-a-00038,"Blue Corner Marine Research, Indonesia",blue corner marine research|indonesia,delegate_list|geocode_csv|programme
icrs-a-00039,"Blue Prosperity Fiji, Fiji",blue prosperity fiji|fiji,delegate_list|geocode_csv|programme
icrs-a-00040,"Boston College, United States",boston college|united states,delegate_list|geocode_csv|programme
icrs-a-00041,Boston University,boston university|united states,display_alias
icrs-a-00041,"Boston University, United States",boston university|united states,delegate_list|display_alias|geocode_csv|programme
icrs-a-00042,"Boxfish Robotics Limited, New Zealand",boxfish robotics limited|new zealand,delegate_list|geocode_csv
icrs-a-00043,"Boxfish Robotics, New Zealand",boxfish robotics|new zealand,delegate_list|geocode_csv
icrs-a-00044,"Bpp, United Kingdom",bpp|united kingdom,delegate_list|geocode_csv
icrs-a-00045,"BRANCH Applications BV / Foundation, Netherlands",branch applications bv / foundation|netherlands,delegate_list|geocode_csv
icrs-a-00046,"BRANCH Foundation, Netherlands",branch foundation|netherlands,delegate_list|geocode_csv
icrs-a-00047,"Brin, Indonesia",brin|indonesia,delegate_list|geocode_csv|programme
icrs-a-00048,"Bureau of Meteorology, Australia",bureau of meteorology|australia,delegate_list|geocode_csv|programme
icrs-a-00049,"Byoguides, Australia",byoguides|australia,delegate_list|geocode_csv
icrs-a-00050,"California Academy of Sciences, Australia",california academy of sciences|australia,delegate_list|geocode_csv|programme
icrs-a-00051,"California Academy of Sciences, United States",california academy of sciences|united states,delegate_list|geocode_csv|programme
icrs-a-00052,"California State Polytechnic University, United States",california state polytechnic university|united states,delegate_list|geocode_csv|programme
icrs-a-00053,"California State University Monterey Bay, United States",california state university monterey bay|united states,delegate_list|geocode_csv|programme
icrs-a-00054,"California State University Northridge, United States",california state university northridge|united states,delegate_list|geocode_csv|programme
icrs-a-00055,"California State University, Monterey Bay And Moss, United States","california state university, monterey bay and moss|united states",delegate_list|geocode_csv|programme
icrs-a-00056,"California State University, United States",california state university|united states,delegate_list|geocode_csv|programme
icrs-a-00057,"Camphora Pte Ltd, Singapore",camphora pte ltd|singapore,delegate_list|geocode_csv
icrs-a-00058,"Cape Eleuthera Institute, Bahamas",cape eleuthera institute|bahamas,delegate_list|geocode_csv|programme
icrs-a-00059,"Caraga State University / National Sun Yat-sen, Philippines",caraga state university / national sun yat-sen|philippines,delegate_list|geocode_csv|programme
icrs-a-00060,"Carl Von Ossietzky University of Oldenburg, Germany",carl von ossietzky university of oldenburg|germany,delegate_list|geocode_csv|programme
icrs-a-00061,"Carl-von-Ossietzky University of Oldenburg, Germany",carl-von-ossietzky university of oldenburg|germany,delegate_list|geocode_csv|programme
icrs-a-00062,"Catholic University of Korea, South Korea",catholic university of korea|south korea,delegate_list|geocode_csv
icrs-a-00063,Cawthron Institute,cawthron institute|,programme
icrs-a-00064,"Cefas, United Kingdom",cefas|united kingdom,delegate_list|geocode_csv|programme
icrs-a-00065,"Center for Marine and Environmental Studies, United States Virgin Islands",center for marine and environmental studies|united states virgin islands,delegate_list|geocode_csv|programme
icrs-a-00066,Center For Research And Advanced Studies Ipn-mérida Unit,center for research and advanced studies ipn-mérida unit|,programme
icrs-a-00067,"Center For Research And Advanced Studies Ipn-mérida, Mexico",center for research and advanced studies ipn-mérida|mexico,delegate_list|geocode_csv
icrs-a-00068,"Central Provincial Administrations, Papua New Guinea",central provincial administrations|papua new guinea,delegate_list|geocode_csv
icrs-a-00069,"Central Queensland University, Australia",central queensland university|australia,delegate_list|geocode_csv|programme
icrs-a-00070,"Centre de recherche du CHU de Québec-Université Laval, Canada",centre de recherche du chu de québec-université laval|canada,delegate_list|geocode_csv
icrs-a-00071,"Centre de Recherches Insulaires et Observatoire de l'Environnement de Moorea, French Polynesia",centre de recherches insulaires et observatoire de l'environnement de moorea|french polynesia,delegate_list|geocode_csv|programme
icrs-a-00072,Centre for Scientific Research and Higher Education of Ensenada,centre for scientific research and higher education of ensenada|mexico,display_alias
icrs-a-00072,Centre for Scientific Research and Higher Education of Ensenada Ensenada,centre for scientific research and higher education of ensenada|mexico,display_alias
icrs-a-00072,"Centre for Scientific Research and Higher Education of Ensenada Ensenada, Mexico",centre for scientific research and higher education of ensenada|mexico,display_alias
icrs-a-00072,"Centre for Scientific Research and Higher Education of Ensenada, Mexico",centre for scientific research and higher education of ensenada|mexico,delegate_list|display_alias|geocode_csv|programme
icrs-a-00073,Centre Scientifique de Monaco,centre scientifique de monaco|france,display_alias
icrs-a-00073,"Centre Scientifique de Monaco, France",centre scientifique de monaco|france,delegate_list|display_alias|geocode_csv
icrs-a-00073,"Centre Scientifique de Monaco, Monaco",centre scientifique de monaco|france,display_alias
icrs-a-00074,"Centre Scientifique de Monaco, Monaco",centre scientifique de monaco|monaco,delegate_list|geocode_csv|programme
icrs-a-00075,Centro de Ciencias do Mar do Algarve,centro de ciências do mar do algarve|portugal,display_alias
icrs-a-00075,Centro de Ciências do Mar do Algarve,centro de ciências do mar do algarve|portugal,display_alias
icrs-a-00075,"Centro de Ciências do Mar do Algarve, Portugal",centro de ciências do mar do algarve|portugal,delegate_list|display_alias|geocode_csv|programme
icrs-a-00076,Centro de Investigaciones Biologicas del Noroeste,centro de investigaciones biológicas del noroeste|mexico,display_alias
icrs-a-00076,Centro de Investigaciones Biológicas del Noroeste,centro de investigaciones biológicas del noroeste|mexico,display_alias
icrs-a-00076,"Centro de Investigaciones Biológicas del Noroeste, Mexico",centro de investigaciones biológicas del noroeste|mexico,delegate_list|display_alias|geocode_csv|programme
icrs-a-00077,"Centro Interdisciplinario de Ciencias marinas, Mexico",centro interdisciplinario de ciencias marinas|mexico,delegate_list|geocode_csv|programme
icrs-a-00078,"Charles Darwin Foundation, Ecuador",charles darwin foundation|ecuador,delegate_list|geocode_csv|programme
icrs-a-00079,"Chinese University of Hong Kong, Hong Kong",chinese university of hong kong|hong kong,delegate_list|geocode_csv|programme
icrs-a-00080,"Chulalongkorn University, Thailand",chulalongkorn university|thailand,delegate_list|geocode_csv|programme
icrs-a-00081,"Chungnam National University, South Korea",chungnam national university|south korea,delegate_list|geocode_csv|programme
icrs-a-00082,Cinvestav Merida,cinvestav mérida|mexico,display_alias
icrs-a-00082,Cinvestav Mérida,cinvestav mérida|mexico,display_alias
icrs-a-00082,"Cinvestav Mérida, Mexico",cinvestav mérida|mexico,delegate_list|display_alias|geocode_csv|programme
icrs-a-00083,"Citizens of the Reef, Australia",citizens of the reef|australia,delegate_list|geocode_csv|programme
icrs-a-00084,"Citizens of the Sea, New Zealand",citizens of the sea|new zealand,delegate_list|geocode_csv
icrs-a-00085,"Civil Society Forum of Tonga, Tonga",civil society forum of tonga|tonga,delegate_list|geocode_csv
icrs-a-00086,"Clemson University, United States",clemson university|united states,delegate_list|geocode_csv|programme
icrs-a-00087,"CMOANA Consulting, French Polynesia",cmoana consulting|french polynesia,delegate_list|geocode_csv|programme
icrs-a-00088,"CNRS/UPVD, France",cnrs/upvd|france,delegate_list|geocode_csv|programme
icrs-a-00089,"CNRS, France",cnrs|france,delegate_list|geocode_csv|programme
icrs-a-00090,"CNRS, French Polynesia",cnrs|french polynesia,delegate_list|geocode_csv|programme
icrs-a-00091,"Coastal and Marine Resource Development, Kenya",coastal and marine resource development|kenya,delegate_list|geocode_csv
icrs-a-00092,"College of Charleston, United States",college of charleston|united states,delegate_list|geocode_csv|programme
icrs-a-00093,"Colorado State University, United States",colorado state university|united states,delegate_list|geocode_csv|programme
icrs-a-00094,"Columbia University, United States",columbia university|united states,delegate_list|geocode_csv|programme
